Mer Number,Cust-Code,Customer,Cust Part No,Date,Stock,Alloc Stock,Location,PCB Type,Fixture,New1,Partfinished,Notes,Spare1,Spare2,ISSUE LEVEL,Date3,Spare4,Spare5,Spare6,MAT,Fecreator,Toolingdate,Sparealpha,Sparenum,Fulldesc,S1,S2,S3,S4,Sd,Sdd,Newalp,Newalp2,Contimp ,Aalpha,Aalpha2,Numm1,Numm2,Qty Bonds,Qty drills ,Qty layers,Comments,Spared,Spared2,Sparen,Spaa,Spab,Tech,x
K46416,EL001,Elmatica AS Norway,4125022 VA8000T102 Rev A Power Input Module SCM180 (4 x hole mod),28/04/2021,2,,48,2-3 4-5,18148,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,SGJ,06/05/2021,Merlin,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,No,,,x
K46440,EL001,Elmatica AS Norway,460057JT20011-01-00 - EWC-310 FRONT PANEL ASSEMBLY TEST JIG PCB,04/05/2021,,,,PV_BP_NE,,,,,Use CAC,,No Iss,,,ML5c,OGEL,NOBUILD,CT,12/05/2021,Atoy,8,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K46447,EL001,Elmatica AS Norway,460057YY2A221-02-00 EWC-310 +28V COND & CNTRL PCB,05/05/2021,,,,10S2-2BP,16858,,,,Use CAC,,02,,,ML5c,OGEL,NOBUILD,SGJ,10/05/2021,Merlin,10,,,Saab Grintek Defence,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K46469,EL024,Elmatica AS Germany,401032754 Rev A  PB IND.BOX,12/05/2021,,,,PTH,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,18/05/2021,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K46501,EL024,Elmatica AS Germany,4155625 Rev 1 PCB 0131 PROCESSORKORT 2846581,18/05/2021,86,,4,12Sx2,,,,,Use CAC,,1,,,ML4a,SIEL,NOBUILD,DF,23/06/2021,Merlin,12,,,,,,,,,Y,No,,Up Issue,,3,,,,,,,,Yes,,,x
K46521,EL024,Elmatica AS Germany,TVAM1170436_R1  Utfyllnadskort  200um,25/05/2021,263,,UNCLAD,UNCLAD,,,,,Use Foil,,1,,,ML4B1,OGEL,NOBUILD,SGJ,26/05/2021,Merlin,1,,,,,,,,,,No,,New,,6,,,,,,,,No,,,x
K46522,EL024,Elmatica AS Germany,TVAM1170427_R1  HV FILTER BOARD,25/05/2021,5,,37A,PTH,,,56@SEP'24,,Use Foil,no testx,R1,,,ML4A,OGEL,NOBUILD,DF,26/05/2021,Merlin,2,,,,,,,,,Y,No,,New,,6,,,,,,,,,,,x
K46553,EL024,Elmatica AS Germany,2000002673  TVA1175172 R2,02/06/2021,4,,3,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,TM,09/06/2021,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K46570,EL024,Elmatica AS Germany,EP4035B,07/06/2021,,,,6LYR,18242,,,,Use CAC,,B,,,Ml5b1,SIEL,K46570,CT,09/06/2021,Anne,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K46572,EL024,Elmatica AS Germany,EP4034C,07/06/2021,,,,6LYR,,,,,Use CAC,,C,,,ML10A,OGEL,NOBUILD,TM,09/06/2021,Atoy,6,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K46580,EL024,Elmatica AS Germany,EP4890A,09/06/2021,24,,41,PTH,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,CT,11/06/2021,Jen,2,,,,,,,,,Y,,,New,,1,,,,,,,,,,,x
K46632,EL024,Elmatica AS Germany,EP3599A,24/06/2021,,,,PTH,,,,,Use Foil,,A,,,ML5a,OGEL,NOBUILD,TM,25/06/2021,Merlin,2,,Yes,,,,,,,Y,,,Re-Tool,,1,,,,,,,,,,,x
K46635,EL024,Elmatica AS Germany,1860-5539 B NLT_BAT_BPDU 401029620 REV.B UTG.2,24/06/2021,,,,6LYR,18630,,,,Use Foil,,B,,,ML4,SIEL,NOBUILD,TM,28/06/2021,Atoy,6,,,,,,,,,Y,,,Up Issue,,0,,,,,,,,,,,x
K46670,NC003,NCAB Group Sweden,ELM0085160 1860-5378,02/07/2021,,,,PTH,,,85@AUG'24,,Use Foil,,A,,,ML4b,SIEL,NOBUILD,CT,08/07/2021,Atoy,2,,,,,,,,,Y,No,,New,,2,,,,,,,,,,,x
K46786,EL001,Elmatica AS Norway,4156357 PCB EMB 3AQ 29813 AAAA,05/08/2021,104,,36A,6Sx2-BN,18697/18698,,,,Use CAC,,AAAA,,,ML11e,OGEL,NOBUILD,DF,19/08/2021,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K46685,EL024,Elmatica AS Germany,2000005395 TVKM2190071 R3,08/07/2021,2,,43A,4LYR,,,,,Use CAC,,R3,,,ML5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K46820,EL024,Elmatica AS Germany,2000000899 TVA1197055 R4,13/08/2021,4,,40,PTH,,,,,Use Foil,,4,,,5b OME,OGEL,NOBUILD,CT,19/08/2021,Jen,2,,,,,,,,,Y,,,Re-Tool,,1,,,,,,,,,,,x
K46822,EL024,Elmatica AS Germany,EP4364B1 retool now K46856,16/08/2021,,,,PTH,,,,,,,B1,,,,OGEL,NOBUILD,,16/08/2021,Atoy,2,,,SAAB Suvillance,,,,,,,No,,New,,1,,,,,,,,,,,x
K46826,EL001,Elmatica AS Norway,PBZ900.04 Rev. 0.00   BLANKBOARD SYNTHESIZER SY7090,17/08/2021,7,,12A,PV_BP_NE,,,,,Use Foil,,0,,,ML5a,OGEL,NOBUILD,CT,20/08/2021,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K46832,EL024,Elmatica AS Germany,1860-5515 PCB PWR 401025093 Rev.C UTG.3 PCB,18/08/2021,,,,8LYR,,,,,Use CAC,,C/3,,,ML4A,OGEL,NOBUILD,TM,23/08/2021,Merlin,8,,,,,,,,,Y,No,,Re-Tool,,6,,,,,,,,,,,x
K46856,EL024,Elmatica AS Germany,EP4364B1 also K49448,23/08/2021,,,,PTH,,,,,Use Foil,,B1,,,,OGEL,NOBUILD,TM,25/08/2021,Merlin,2,,,SAAB Suvillance,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K46873,EL024,Elmatica AS Germany,EP2517E,26/08/2021,8,,1,6LYR,,,,,Use Foil,,E,,,ML5b,OGEL,NOBUILD,NDB,02/09/2021,Anne,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K46955,EL024,Elmatica AS Germany,EP4337B1 upissue now K49397,14/09/2021,,,,8LYR,,,,,Use CAC,,B1,,,ML5b,OGEL,NOBUILD,CT,20/09/2021,Jen,8,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K46979,EL024,Elmatica AS Germany,1860-5565  PCB JFP_POWC_MPCIF 401031822 REV.A UTG.1,22/09/2021,,,,6LYR,,,,,Use Foil,,A,,,,SIEL,NOBUILD,CT,23/09/2021,Anne,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K46980,EL024,Elmatica AS Germany,1860-5564  PCB JFP_POWC_CAPS 401031825 REV.A UTG.1,22/09/2021,,,,4LYR,,,,,Use Foil,,A,,,,SIEL,NOBUILD,CT,24/09/2021,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47001,EL024,Elmatica AS Germany,ELM0086820 EP4033C,28/09/2021,11,,Despatch,4LYR,,,,,Use CAC,,C,,,ML10A,OGEL,NOBUILD,DF,29/09/2021,Merlin,4,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K47018,EL024,Elmatica AS Germany,1860-5578  RBS15 JFP MPC CPU LM 401032636 REV .A UTG 1,29/09/2021,,,,PV_BP_NE,,,,,Use CAC,,1,,,,SIEL,NOBUILD,DF,30/09/2021,Merlin,14,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47020,EL024,Elmatica AS Germany,EP4861B,30/09/2021,,,,PV_BP_NE,17176/17185,,,,Use CAC,,B,,,,Yes,NOBUILD,DF,01/10/2021,Merlin,16,,,,,,,,,Y,Yes,,Up Issue,,,,,,,,,,,,,x
K47022,EL024,Elmatica AS Germany,8081227  TVKM1170469 R2,30/09/2021,,,,PV_BP,,,,,Use CAC,,R2,,,ML5b,OGEL,NOBUILD,AM,04/10/2021,Anne,4,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47025,EL024,Elmatica AS Germany,1860-5580 JFP_POWC_MAIN 401031815 REV.A UTG.1 Upissue now  K50026,01/10/2021,,,,PV_BP_NE,,,,,Use CAC,,A.1,,,ML4A,OGEL,NOBUILD,CT,04/10/2021,Anne,6,,,,,,,,,Y,No,,New,,5,,,,,,,,,,,x
K47026,EL024,Elmatica AS Germany,EP4025A,01/10/2021,,,,PTH,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,CT,04/10/2021,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47038,EL024,Elmatica AS Germany,1860-5582 RBS15 JFP MPC ALC LM 401032629 REV.A UTG.1 upissue now K47935,05/10/2021,,,,PV_BP_NE,17434,,,,Use CAC,x,A.1,,,,SIEL,NOBUILD,CT,06/10/2021,Jen,12,,,Saab Dynamics,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47105,EL024,Elmatica AS Germany,2000002672,21/10/2021,5,,42,PTH,,,,,Use Foil,,2,,,ML9A,OGEL,NOBUILD,CT,25/10/2021,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,4,,,,,,,,,,,x
K47129,EL024,Elmatica AS Germany,EP3343B,28/10/2021,24,,29A,4LYR,,,,,Use CAC,,B,,,Ml10A,OGEL,NOBUILD,TM,03/11/2021,Atoy,4,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K47169,EL024,Elmatica AS Germany,2000004206 TVM61207 R1,05/11/2021,,,,6LYR,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,TM,04/01/2022,Anne,6,,,,,,,,,Y,No,,New,,0,,,,,,,,,,,x
K47173,EL024,Elmatica AS Germany,TVK1175294_R1  2000002690,08/11/2021,4,,48A,6LYR,18799,,,,Use CAC,,1,,,ML5b,OGEL,NOBUILD,NDB,10/11/2021,Merlin,6,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47176,EL024,Elmatica AS Germany,TVA1194785_R1  000002675,09/11/2021,3,,47,PTH,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,CT,21/12/2021,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47178,EL024,Elmatica AS Germany,TVA2192926_R2 2000004242,09/11/2021,5,,46,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,TM,20/03/2022,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47180,EL024,Elmatica AS Germany,1860-5597   B MEZZANINE CARD (MC) III 401034974 REV .A,10/11/2021,,,,14LYR,17322,,,,Use CAC,,A,,,,OGEL,NOBUILD,DF,11/11/2021,Merlin,14,,,SAAB Dynamics AB,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47239,EL024,Elmatica AS Germany,1860-5602   PCB SU BPL P1 401032515 REV .A UTG. 1,29/11/2021,,,,18LYR,17370/17389,,,,Use CAC,,A,,,,SIEL,NOBUILD,CT,01/12/2021,Atoy,18,,,SAAB Dynamics AB,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47244,EL024,Elmatica AS Germany,1860-5583  PCB 0901 401029989 REV .B UTG. 2,30/11/2021,,,,PTH,,,,ON HOLD S,Use Foil,,B,,,,Yes,NOBUILD,TM,03/12/2021,Jen,2,,,,,,,,,Y,No,,Up Issue,,0,,,,,,,,,,,x
K47275,EL024,Elmatica AS Germany,EP4945A upissue now K48524,06/12/2021,,,,4LYR,,,,,Use CAC,,A,,,,OGEL,NOBUILD,TM,07/12/2021,Jen,4,,,SAAB Suvillance,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47276,EL024,Elmatica AS Germany,EP4932A,06/12/2021,,,,6LYR,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,TM,15/12/2021,Atoy,6,,,SAAB Suvillance,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47283,EL024,Elmatica AS Germany,ELM0088111 8081038,07/12/2021,4,,34A,PV_BP,,,,,Use CAC,x,R1,,,ML5b,OGEL,NOBUILD,TM,10/12/2021,Anne,6,,,Hanza,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47287,EL024,Elmatica AS Germany,TVK9310394-521 also K47303,09/12/2021,,,,DSNPTH,,,,,Use Foil,,No Iss,,,ML5b,OGEL,NOBUILD,TM,10/12/2021,Jen,2,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K47302,EL024,Elmatica AS Germany,1860-5609  MIO 401032367 REV .A UTG. 1,14/12/2021,,,,PV_BP_NE,17422/17424,,,,Use CAC,,1,,,,SIEL,NOBUILD,CT,16/12/2021,Anne,14,,,SAAB Dynamics AB Awaiting EUU,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47303,EL024,Elmatica AS Germany,TVK9310394-521 DE104 Material,14/12/2021,,,,DSNPTH,,,,,Use Foil,,No Iss,,,ML5b,OGEL,NOBUILD,NDB,20/12/2021,Merlin,2,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K47317,EL024,Elmatica AS Germany,1860-5612 PCB RELAYS BPL P1 401032866 REV.A UTG.1,22/12/2021,,,,6LYR,,,,,Use CAC,,A,,,,SIEL,NOBUILD,NDB,04/01/2022,Jen,6,,,,,,,,,,No,,New,,0,,,,,,,,,,,x
"K47388""",EL024,Elmatica AS Germany,401035479 A1 DCDC 48V,17/01/2022,4LYR,18345,,,Use Foil,,,A1,,,,,,ML14,OGEL,NOBUILD,TM,18/01/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,
K47341,EL024,Elmatica AS Germany,EP4032A,06/01/2022,,,,4LYR,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,TM,07/01/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47372,EL024,Elmatica AS Germany,1860-5612 PCB RELAYS BPL P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K47392,EL024,Elmatica AS Germany,EP4917A,18/01/2022,,,,4LYR,,,,,Use CAC,,A,,,,OGEL,NOBUILD,TM,20/01/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47393,EL024,Elmatica AS Germany,EP4918A,18/01/2022,,,,PV_BP,,,,,Use Foil,,A,,,ML5a,OGEL,NOBUILD,NDb,20/01/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47422,EL024,Elmatica AS Germany,TVKM1170445R3,24/01/2022,,,,PV_BP,17483,,,,Use Foil,,R3,,,ML9c,OGEL,NOBUILD,NDB,25/01/2022,Anne,4,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47423,EL001,Elmatica AS Norway,100356  PCB 60293417_-,25/01/2022,,,,blndflip,,,,,Use Foil,,-,,,,OGEL,NOBUILD,SGJ,27/01/2022,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K47424,EL024,Elmatica AS Germany,1860-5604 Rev 3  PCB TOP BPL P1 401032655 REV .B UTG.4,25/01/2022,,,,16LYR,,,,,Use CAC,,3,,,ML4,SIEL,NOBUILD,DF,07/02/2022,Merlin,16,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47430,EL001,Elmatica AS Norway,"10297485  PCB MECH, PCE",27/01/2022,,,,14LYR,18111,,,,Use CAC,,NO ISS,,,,OGEL,NOBUILD,NDB,04/02/2022,Merlin,14,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47446,EL024,Elmatica AS Germany,TVAM1170530 R1,31/01/2022,60,,2,PTH,,,,,Use CAC,pp.emm,1,,,ML5b,OGEL,NOBUILD,TM,01/02/2022,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47449,EL024,Elmatica AS Germany,8081248 TVKM1170516 R1 upissue now K49619,31/01/2022,3,,1A,PV_BP,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,NDB,03/02/2022,Atoy,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47466,EL024,Elmatica AS Germany,EP3531A,04/02/2022,,,,PV_BP_NE,17541/17567,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,TM,09/02/2022,Atoy,14,,Yes,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47502,EL001,Elmatica AS Norway,4162005 GEC10091A_D upisue now K49389,16/02/2022,,,,PV_BP_NE,,,,,Use CAC,,A_D,,,ML11a,OGEL,NOBUILD,NDB,03/03/2022,Anne,6,,,,,,,,,,,,New,,1,,,,,,,,,,,x
K47469,EL001,Elmatica AS Norway,009007P1443 460057YY20121-03 also K48799,07/02/2022,,,,PV_BP,,,,,Use CAC,,03,,,ML5c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K47503,EL024,Elmatica AS Germany,48-4353-0-99 EP4353,16/02/2022,,,,ds_pnl,,,,,Use Foil,,B,,,ML5b,OGEL,NOBUILD,NDB,23/02/2022,Merlin,2,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47511,EL001,Elmatica AS Norway,4163488 PCB XSR Power Module GEC10047C_D,16/02/2022,,,,PV_BP_NE,,,,,Use Foil,x,C,,,Ml11a,OGEL,NOBUILD,NDB,04/03/2022,Jen,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47528,EL024,Elmatica AS Germany,LFSWEP4836B EP4836B,22/02/2022,4,,49,PV_BP_NE,,,,,Use CAC,,B,,,ML9a1,OGEL,NOBUILD,TM,24/02/2022,Merlin,6,,,Sanmina SCI,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K47538,NC003,NCAB Group SWEDEN AB,ELM0059439 EP4675A1,23/02/2022,,,,6LYR,,,,,Use CAC,,A1,,,Ml10A,OGEL,NOBUILD,NDB,09/03/2022,Merlin,6,,,,,,,,,Y,,,Re-Tool,,4,,,,,,,,,,,x
K47569,EL024,Elmatica AS Germany,EP4832B **UP ISSED NOW K48954**,02/03/2022,,,,PV_BP_NE,,,,,Use CAC,,B,,,ML5c,OGEL,NOBUILD,NDB,09/03/2022,Anne,8,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47581,EL024,Elmatica AS Germany,1860-4368  PCB V&T ECU EMI BOARD 1 02899188 REV. 00,03/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,05/03/2022,Jen,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47586,EL024,Elmatica AS Germany,1860-4369 PCB V&T ECU EMI BOARD 2 02899189 REV.00,04/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,07/03/2022,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47587,EL024,Elmatica AS Germany,1860-4366 PCB I-ECU EMI BOARD 02899190 REV.00,04/03/2022,,,,4LYR,,,,,Use CAC,,00,,,ML11,OGEL,NOBUILD,NDB,07/03/2022,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47594,NC003,NCAB Group SWEDEN AB,ELM0089572 EP4653B,04/03/2022,60,,27A,6LYR,,,,,Use CAC,,B,,,ML10A,OGEL,NOBUILD,NDB,14/03/2022,Anne,6,,,,,,,,,Y,No,,Up Issue,,4,,,,,,,,,,,x
K47603,EL024,Elmatica AS Germany,8081043 TVA1174470R2,07/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,NDB,11/03/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47604,EL024,Elmatica AS Germany,8081046 TVA1174472R2,07/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,NDB,14/03/2022,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47620,EL001,Elmatica AS Norway,4123222 8851780323 PCB VIM Connector J3-J5,09/03/2022,,,,4LYR,,,,,Use CAC,,No Iss,,,ML14A,OGEL,NOBUILD,TM,01/04/2022,Merlin,4,,,,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,,,,x
K47627,EL024,Elmatica AS Germany,EP4965A,09/03/2022,,,,PTH,,,,,Use CAC,,A,,,ML5c,OGEL,NOBUILD,NDB,09/03/2022,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47636,EL024,Elmatica AS Germany,48-20102-3-99 With closed vias 6320-102-05 MAINBOARD CS2200 TUC rev05,10/03/2022,,,,PV_BP_NE,,,,,Use CAC,,05,,,ML5a,OGEL,NOBUILD,TM,23/03/2022,Atoy,10,,Yes,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K47649,EL024,Elmatica AS Germany,TEST2201003_P1A,11/03/2022,,,,6LYR,,,,,Use Foil,,1A,,,ML5b,OGEL,NOBUILD,NDB,19/03/2022,Atoy,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47653,EL024,Elmatica AS Germany,2000003272 TVKM2190048R2 upissue now K49248,14/03/2022,,,,6LYR,,,,,Use CAC,,No Iss,,,ML5b,OGEL,NOBUILD,TM,21/04/2022,Atoy,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47656,EL024,Elmatica AS Germany,EP4959A,15/03/2022,,,,PV_BP_NE,18286,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,20/03/2022,Jen,10,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K47666,EL024,Elmatica AS Germany,EP4963A,17/03/2022,3,,2,PV_BP,18900/18929,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,TM,19/03/2022,Atoy,12,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47674,EL024,Elmatica AS Germany,401036430 A1 PB AEU-2 PINGER PATCH BRD,21/03/2022,,,,PTH,,,,,Use Foil,,A1,,,ML14,OGEL,NOBUILD,NDB,22/03/2022,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47690,EL024,Elmatica AS Germany,2000000894 TVA1192311 R2,22/03/2022,,,,PTH,,,,,Use Foil,,R2,,,ML5a,OGEL,NOBUILD,NDB,28/03/2022,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K47693,EL024,Elmatica AS Germany,EP4961A,23/03/2022,,,,PV_BP,18271,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,NDB,29/03/2022,Jen,16,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47712,EL024,Elmatica AS Germany,EP4960A,28/03/2022,,,,PV_BP,19525,,,,Use CAC,,A,,,ML,OGEL,NOBUILD,TM,30/03/2022,Atoy,16,,,,,,,,,Y,Yes,,Up Issue,,6,,,,,,,,,,,x
K47718,EL024,Elmatica AS Germany,401036595A1 PB TEU,29/03/2022,,,,8LYR,,,,,Use Foil,,A1,,,ML14,OGEL,NOBUILD,NDB,31/03/2022,Anne,8,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K47719,EL001,Elmatica AS Norway,9102048-3 PCB 22-10024-06.1 Retool now K48074,30/03/2022,,,,PV_BPX,,,,,Use CAC,,3,,,ML5b,OGEL,NOBUILD,DF,01/04/2022,Merlin,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K47731,EL024,Elmatica AS Germany,5013177G TVKM1170345 Rev I now K47799,31/03/2022,,,,10LYR,,,,ON HOLD S,Use Foil,,I,,,,Yes,NOBUILD,TM,05/04/2022,Atoy,10,,,,,,,,,,No,,New,,,,,,,,,,,,,x
K47732,EL024,Elmatica AS Germany,5013245I TVKM1170403 Rev J retool now K47951,31/03/2022,,,,10LYR,17843/17881/17882,,,,Use Foil,,J,,,,SIEL,NOBUILD,TM,22/04/2022,Atoy,10,,,,,,,,,Y,No,,New,,0,,,,,,,,,,,x
K47762,EL024,Elmatica AS Germany,1860-5624 OHDU MAINBOARD 8941260-012 REV.A UTG.A upissue now K47845,11/04/2022,,,,PV_BP_NE,,,,,,,A,,,,Yes,K47189,,12/04/2022,Atoy,12,,,,,,,,,,Yes,,Up Issue,,,,,,,,,,,,,x
K47769,EL024,Elmatica AS Germany,1860-5283  PB TX 401025007 REV .B UTG. 2,13/04/2022,,,,12PV,,,,,,,B,,,ML4a,SIEL,,,,,12,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K47799,EL024,Elmatica AS Germany,5013177H  TVKM1170345 K now K47952,21/04/2022,,,,10LYR,17831/17883,,,,Use Foil,,H,,,,SIEL,NOBUILD,TM,26/04/2022,Atoy,10,,,,,,,,,Y,No,,Up Issue,,0,,,,,,,,,,,x
